"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"29.08.2022 15:00";"31";"745.2";"759.2";"-0.2";"31";"Вітер, що дме із заходу-південного заходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"29.08.2022 12:00";"28.4";"745.4";"759.6";"0.4";"41";"Вітер, що дме із заходу-південного заходу";"3";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"29.08.2022 09:00";"21.3";"745";"759.5";"0.3";"65";"Вітер, що дме із заходу-південного заходу";"2";"";"";"хмар немає";" ";"";"";"16.6";"";"";"";"";"";"";"20";"4";"12";"";"";"";"";""
"29.08.2022 06:00";"17.1";"744.7";"759.4";"-0.3";"87";"Вітер, що дме з південного заходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"29.08.2022 03:00";"17.7";"745";"759.7";"0.3";"93";"Штиль, безвітря";"0";"";"";"100%.";"Зливовий (і) дощ (и). ";"Злива (зливи).";"Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.";"";"";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"100%.";"600-1000";"";"";"4";"4";"6";"";"";"";"";""
"29.08.2022 00:00";"18.4";"744.7";"759.4";"-0.3";"81";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"28.08.2022 21:00";"21.7";"745";"759.4";"0.9";"65";"Штиль, безвітря";"0";"";"";"10%  або менше, але не 0";" ";"";"";"";"27.9";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"Сліди опадів";"12";"";"";"";"";""
"28.08.2022 18:00";"26.1";"744.1";"758.3";"0.3";"33";"Вітер, що дме з півночі";"3";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"28.08.2022 15:00";"27.5";"743.8";"758";"0";"33";"Вітер, що дме з півночі-північного заходу";"2";"";"";"70 – 80%.";"Стан неба в загальному не змінився. ";"Дощ.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"Сліди опадів";"6";"";"";"";"";""
"28.08.2022 12:00";"24.3";"743.8";"758.2";"-0.1";"56";"Вітер, що дме з півдня-південного заходу";"1";"";"";"60%.";"Стан неба в загальному не змінився. ";"Дощ.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"28.08.2022 09:00";"20.4";"743.9";"758.5";"0.6";"68";"Штиль, безвітря";"0";"";"";"100%.";" ";"";"";"19.9";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"Сліди опадів";"12";"";"";"";"";""
"28.08.2022 06:00";"21.2";"743.3";"757.8";"-0.8";"55";"Вітер, що дме із заходу-північного заходу";"2";"";"";"100%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"";"";"";"";"";"";""
"28.08.2022 03:00";"21.5";"744.1";"758.6";"-0.3";"52";"Вітер, що дме із заходу";"2";"";"";"100%.";"Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ";"Злива (зливи).";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"1000-1500";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"Сліди опадів";"6";"";"";"";"";""
"28.08.2022 00:00";"21.7";"744.4";"758.9";"-0.2";"48";"Штиль, безвітря";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"27.08.2022 21:00";"24.9";"744.6";"758.9";"0.3";"40";"Вітер, що дме з півночі-північного сходу";"1";"";"";"60%.";" ";"";"";"";"32.1";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"27.08.2022 18:00";"29.4";"744.3";"758.4";"-0.3";"26";"Вітер, що дме з північного сходу";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчасті, що утворилися з купчастих.";"20–30%.";"1000-1500";"Високо-купчасті баштовидні або пластівчасті.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"27.08.2022 15:00";"30";"744.6";"758.7";"-0.2";"26";"Вітер, що дме зі сходу-північного сходу";"3";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"27.08.2022 12:00";"25.4";"744.8";"759.1";"-0.5";"43";"Вітер, що дме з півночі-північного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"27.08.2022 09:00";"21.2";"745.3";"759.8";"-0.2";"54";"Вітер, що дме з північного сходу";"1";"";"";"100%.";" ";"";"";"20.5";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"";"";"";"";"";"";""
"27.08.2022 06:00";"20.6";"745.5";"760";"-0.1";"50";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"100%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"";"";"";"";"";"";""
"27.08.2022 03:00";"21.3";"745.6";"760.2";"-0.5";"44";"Вітер, що дме з північного сходу";"1";"";"";"60%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"27.08.2022 00:00";"23.6";"746.1";"760.5";"0";"37";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"26.08.2022 21:00";"25.7";"746.1";"760.4";"-0.2";"30";"Вітер, що дме з північного сходу";"2";"";"";"90  або більше, але не 100 %";" ";"";"";"";"31.5";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";"20";"";"";"";"";"";"";""
"26.08.2022 18:00";"29.2";"746.3";"760.5";"0";"24";"Вітер, що дме з південного сходу";"2";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчасті, що утворилися з купчастих.";"20–30%.";"1000-1500";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"26.08.2022 15:00";"31.3";"746.3";"760.4";"-0.3";"22";"Вітер, що дме зі сходу-південного сходу";"3";"";"";"50%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"26.08.2022 12:00";"28.6";"746.6";"760.8";"-0.6";"29";"Вітер, що дме зі сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"26.08.2022 09:00";"22";"747.2";"761.8";"0";"50";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"19.3";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"26.08.2022 06:00";"19.9";"747.2";"761.8";"-0.2";"58";"Вітер, що дме з півночі-північного сходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"26.08.2022 03:00";"21.9";"747.4";"762";"-0.4";"54";"Вітер, що дме з півночі-північного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"26.08.2022 00:00";"24.3";"747.8";"762.2";"-0.5";"47";"Вітер, що дме з півночі-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 21:00";"26.7";"748.3";"762.7";"0";"36";"Вітер, що дме з північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"33";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 18:00";"30.9";"748.3";"762.4";"-0.5";"25";"Вітер, що дме зі сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"25.08.2022 15:00";"31.9";"748.8";"762.9";"-1";"23";"Вітер, що дме зі сходу";"3";"";"";"40%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"25.08.2022 12:00";"28.4";"749.8";"764.1";"-0.6";"33";"Вітер, що дме з півночі-північного сходу";"3";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 09:00";"21.5";"750.4";"765";"-0.3";"54";"Вітер, що дме з півночі-північного сходу";"1";"";"";"хмар немає";" ";"";"";"18";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 06:00";"18";"750.7";"765.5";"-0.1";"63";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 03:00";"19.9";"750.8";"765.5";"-0.3";"56";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"25.08.2022 00:00";"24.2";"751.1";"765.6";"0";"40";"Вітер, що дме з північного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 21:00";"27";"751.1";"765.4";"0.7";"38";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"33.1";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 18:00";"31.5";"750.4";"764.5";"0";"28";"Вітер, що дме зі сходу";"4";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 15:00";"33";"750.4";"764.4";"-0.3";"26";"Вітер, що дме з південного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 12:00";"28.1";"750.7";"765.1";"0.3";"32";"Вітер, що дме зі сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 09:00";"22.3";"750.4";"764.9";"0.2";"43";"Вітер, що дме зі сходу-південного сходу";"2";"";"";"хмар немає";" ";"";"";"19.1";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 06:00";"19.6";"750.2";"764.9";"0.4";"53";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 03:00";"21.1";"749.8";"764.4";"0";"56";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"24.08.2022 00:00";"23.2";"749.8";"764.2";"0.6";"51";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"23.08.2022 21:00";"24.8";"749.2";"763.6";"0.8";"45";"Штиль, безвітря";"0";"";"";"10%  або менше, але не 0";" ";"";"";"";"32";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"23.08.2022 18:00";"28.1";"748.4";"762.7";"0.3";"34";"Вітер, що дме з півдня";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"23.08.2022 15:00";"28.5";"748.1";"762.4";"-0.1";"30";"Вітер, що дме з півдня-південного сходу";"3";"";"";"50%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"23.08.2022 12:00";"27.7";"748.2";"762.4";"0.8";"37";"Вітер, що дме зі сходу-південного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"23.08.2022 09:00";"21.7";"747.4";"762";"1";"53";"Вітер, що дме зі сходу-південного сходу";"1";"";"";"20–30%.";" ";"";"";"19.7";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"23.08.2022 06:00";"19.7";"746.4";"761";"0.5";"57";"Вітер, що дме зі сходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"23.08.2022 03:00";"20.5";"745.9";"760.5";"-0.1";"61";"Штиль, безвітря";"0";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
